timestamp,RAM_Usage_In_Percentage,CPU_Usage_In_Percentage,DISK_Usage_In_Percantage
Sat 22 Jan 2022 18:13:53 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:14:03 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:14:13 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:14:23 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:14:33 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:14:43 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:14:53 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:15:03 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:15:13 +0000,32.9,100.0,66.5
Sat 22 Jan 2022 18:15:23 +0000,32.7,100.0,67.1
Sat 22 Jan 2022 18:15:33 +0000,32.7,100.0,68.3
Sat 22 Jan 2022 18:15:43 +0000,32.7,100.0,68.3
Sat 22 Jan 2022 18:15:53 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:16:03 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:16:13 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:16:23 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:16:33 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:16:43 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:16:53 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:17:03 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:17:13 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:17:23 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:17:33 +0000,32.9,100.0,66.5
Sat 22 Jan 2022 18:17:43 +0000,32.8,100.0,67.1
Sat 22 Jan 2022 18:17:53 +0000,32.7,100.0,68.4
Sat 22 Jan 2022 18:18:03 +0000,32.8,100.0,68.4
Sat 22 Jan 2022 18:18:13 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:18:23 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:18:33 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:18:43 +0000,32.9,100.0,70.8
Sat 22 Jan 2022 18:18:53 +0000,32.9,100.0,70.8
Sat 22 Jan 2022 18:19:03 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:19:13 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:19:23 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:19:33 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:19:43 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:19:53 +0000,32.8,100.0,66.5
Sat 22 Jan 2022 18:20:03 +0000,32.7,100.0,67.1
Sat 22 Jan 2022 18:20:13 +0000,32.7,100.0,68.4
Sat 22 Jan 2022 18:20:23 +0000,32.7,100.0,68.4
Sat 22 Jan 2022 18:20:33 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:20:43 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:20:53 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:21:03 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:21:13 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:21:23 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:21:33 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:21:43 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:21:53 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:22:03 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:22:13 +0000,32.9,100.0,66.5
Sat 22 Jan 2022 18:22:23 +0000,32.8,100.0,67.1
Sat 22 Jan 2022 18:22:33 +0000,32.8,100.0,68.4
Sat 22 Jan 2022 18:22:43 +0000,32.8,100.0,68.4
Sat 22 Jan 2022 18:22:53 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:23:03 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:23:13 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:23:23 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:23:33 +0000,32.9,100.0,70.8
Sat 22 Jan 2022 18:23:43 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:23:53 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:24:03 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:24:13 +0000,33.0,100.0,75.6
Sat 22 Jan 2022 18:24:23 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:24:33 +0000,32.9,100.0,66.2
Sat 22 Jan 2022 18:24:43 +0000,32.7,100.0,67.1
Sat 22 Jan 2022 18:24:53 +0000,32.6,100.0,68.4
Sat 22 Jan 2022 18:25:04 +0000,32.7,100.0,68.3
Sat 22 Jan 2022 18:25:14 +0000,32.7,100.0,68.3
Sat 22 Jan 2022 18:25:24 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:25:34 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:25:44 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:25:54 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:26:04 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:26:14 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:26:24 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:26:34 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:26:44 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:26:54 +0000,32.9,100.0,66.2
Sat 22 Jan 2022 18:27:04 +0000,32.8,100.0,67.1
Sat 22 Jan 2022 18:27:14 +0000,32.8,100.0,68.4
Sat 22 Jan 2022 18:27:24 +0000,32.8,100.0,68.4
Sat 22 Jan 2022 18:27:34 +0000,32.7,100.0,68.3
Sat 22 Jan 2022 18:27:44 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:27:54 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:28:04 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:28:14 +0000,32.9,100.0,70.8
Sat 22 Jan 2022 18:28:24 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:28:34 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:28:44 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:28:54 +0000,33.0,100.0,75.6
Sat 22 Jan 2022 18:29:04 +0000,33.0,100.0,75.6
Sat 22 Jan 2022 18:29:14 +0000,32.9,100.0,66.2
Sat 22 Jan 2022 18:29:24 +0000,32.8,100.0,67.1
Sat 22 Jan 2022 18:29:34 +0000,32.7,100.0,68.4
Sat 22 Jan 2022 18:29:44 +0000,32.6,100.0,68.4
Sat 22 Jan 2022 18:29:54 +0000,32.6,100.0,68.3
Sat 22 Jan 2022 18:30:04 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:30:14 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:30:24 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:30:34 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:30:44 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:30:54 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:31:04 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:31:14 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:31:24 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:31:34 +0000,32.9,100.0,66.1
Sat 22 Jan 2022 18:31:44 +0000,32.8,100.0,67.1
Sat 22 Jan 2022 18:31:54 +0000,32.8,100.0,67.1
Sat 22 Jan 2022 18:32:04 +0000,32.8,100.0,68.3
Sat 22 Jan 2022 18:32:14 +0000,32.7,100.0,68.3
Sat 22 Jan 2022 18:32:24 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:32:34 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:32:44 +0000,32.9,100.0,70.8
Sat 22 Jan 2022 18:32:54 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:33:04 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:33:14 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:33:24 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:33:34 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:33:44 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:33:54 +0000,33.0,100.0,66.1
Sat 22 Jan 2022 18:34:04 +0000,32.8,100.0,67.1
Sat 22 Jan 2022 18:34:14 +0000,32.8,100.0,67.1
Sat 22 Jan 2022 18:34:24 +0000,32.9,100.0,68.4
Sat 22 Jan 2022 18:34:34 +0000,32.7,100.0,68.4
Sat 22 Jan 2022 18:34:44 +0000,32.6,100.0,70.8
Sat 22 Jan 2022 18:34:54 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:35:04 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:35:14 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:35:24 +0000,32.7,100.0,75.6
Sat 22 Jan 2022 18:35:34 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:35:44 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:35:54 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:36:04 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:36:14 +0000,32.9,100.0,66.1
Sat 22 Jan 2022 18:36:24 +0000,32.7,100.0,67.1
Sat 22 Jan 2022 18:36:34 +0000,32.7,100.0,67.1
Sat 22 Jan 2022 18:36:44 +0000,32.7,100.0,68.3
Sat 22 Jan 2022 18:36:55 +0000,32.8,100.0,68.3
Sat 22 Jan 2022 18:37:05 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:37:15 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:37:25 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:37:35 +0000,32.9,100.0,70.8
Sat 22 Jan 2022 18:37:45 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:37:55 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:38:05 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:38:15 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:38:25 +0000,33.0,100.0,75.6
Sat 22 Jan 2022 18:38:35 +0000,33.0,100.0,75.6
Sat 22 Jan 2022 18:38:45 +0000,33.0,100.0,66.5
Sat 22 Jan 2022 18:38:55 +0000,32.9,100.0,67.1
Sat 22 Jan 2022 18:39:05 +0000,32.9,100.0,68.3
Sat 22 Jan 2022 18:39:15 +0000,32.8,100.0,68.3
Sat 22 Jan 2022 18:39:25 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:39:35 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:39:45 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:39:55 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:40:05 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:40:15 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:40:25 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:40:35 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:40:45 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:40:55 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:41:05 +0000,32.9,100.0,66.5
Sat 22 Jan 2022 18:41:15 +0000,32.7,100.0,67.1
Sat 22 Jan 2022 18:41:25 +0000,32.7,100.0,68.4
Sat 22 Jan 2022 18:41:35 +0000,32.7,100.0,68.3
Sat 22 Jan 2022 18:41:45 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:41:55 +0000,32.7,100.0,70.8
Sat 22 Jan 2022 18:42:05 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:42:15 +0000,32.8,100.0,70.8
Sat 22 Jan 2022 18:42:25 +0000,32.9,100.0,70.8
Sat 22 Jan 2022 18:42:35 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:42:45 +0000,32.8,100.0,75.6
Sat 22 Jan 2022 18:42:55 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:43:05 +0000,32.9,100.0,75.6
Sat 22 Jan 2022 18:43:15 +0000,32.9,100.0,75.6
