timestamp,RAM_Usage_In_Percentage,CPU_Usage_In_Percentage,DISK_Usage_In_Percantage
Fri 21 Jan 2022 13:22:27 +0000,57.0,2.7,13.4
Fri 21 Jan 2022 13:22:37 +0000,57.0,5.3,13.4
Fri 21 Jan 2022 13:22:47 +0000,57.0,2.6,13.4
Fri 21 Jan 2022 13:22:57 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 13:23:07 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 13:23:17 +0000,57.0,6.2,13.4
Fri 21 Jan 2022 13:23:27 +0000,57.2,19.0,13.4
Fri 21 Jan 2022 13:23:37 +0000,57.0,13.0,13.4
Fri 21 Jan 2022 13:23:47 +0000,57.0,6.7,13.4
Fri 21 Jan 2022 13:23:57 +0000,57.2,5.5,13.4
Fri 21 Jan 2022 13:24:07 +0000,57.2,4.1,13.4
Fri 21 Jan 2022 13:24:17 +0000,57.2,3.4,13.4
Fri 21 Jan 2022 13:24:27 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 13:24:37 +0000,57.0,8.9,13.4
Fri 21 Jan 2022 13:24:47 +0000,57.0,9.6,13.4
Fri 21 Jan 2022 13:24:57 +0000,57.0,5.5,13.4
Fri 21 Jan 2022 13:25:07 +0000,57.0,4.5,13.4
Fri 21 Jan 2022 13:25:17 +0000,56.8,5.8,13.4
Fri 21 Jan 2022 13:25:27 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:25:37 +0000,57.0,6.4,13.4
Fri 21 Jan 2022 13:25:47 +0000,57.0,3.0,13.4
Fri 21 Jan 2022 13:25:57 +0000,57.0,4.0,13.4
Fri 21 Jan 2022 13:26:07 +0000,57.0,10.1,13.4
Fri 21 Jan 2022 13:26:17 +0000,57.0,5.2,13.4
Fri 21 Jan 2022 13:26:27 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 13:26:37 +0000,57.0,5.4,13.4
Fri 21 Jan 2022 13:26:47 +0000,57.0,2.7,13.4
Fri 21 Jan 2022 13:26:57 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 13:27:07 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:27:17 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:27:27 +0000,57.0,8.1,13.4
Fri 21 Jan 2022 13:27:37 +0000,57.0,7.0,13.4
Fri 21 Jan 2022 13:27:47 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 13:27:57 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 13:28:07 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:28:17 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 13:28:27 +0000,57.0,13.1,13.4
Fri 21 Jan 2022 13:28:37 +0000,57.0,5.2,13.4
Fri 21 Jan 2022 13:28:47 +0000,57.0,8.8,13.4
Fri 21 Jan 2022 13:28:57 +0000,57.0,10.0,13.4
Fri 21 Jan 2022 13:29:07 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 13:29:17 +0000,57.0,4.6,13.4
Fri 21 Jan 2022 13:29:27 +0000,57.0,5.5,13.4
Fri 21 Jan 2022 13:29:37 +0000,57.0,10.2,13.4
Fri 21 Jan 2022 13:29:47 +0000,57.1,6.5,13.4
Fri 21 Jan 2022 13:29:57 +0000,57.1,5.4,13.4
Fri 21 Jan 2022 13:30:07 +0000,57.1,6.1,13.4
Fri 21 Jan 2022 13:30:17 +0000,57.0,11.1,13.4
Fri 21 Jan 2022 13:30:27 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 13:30:37 +0000,57.0,5.1,13.4
Fri 21 Jan 2022 13:30:47 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 13:30:57 +0000,57.0,4.2,13.4
Fri 21 Jan 2022 13:31:07 +0000,57.0,4.7,13.4
Fri 21 Jan 2022 13:31:17 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 13:31:27 +0000,57.0,8.6,13.4
Fri 21 Jan 2022 13:31:37 +0000,57.0,6.0,13.4
Fri 21 Jan 2022 13:31:47 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 13:31:57 +0000,57.0,4.0,13.4
Fri 21 Jan 2022 13:32:07 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 13:32:17 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:32:27 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 13:32:37 +0000,57.0,6.1,13.4
Fri 21 Jan 2022 13:32:47 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 13:32:57 +0000,57.0,10.4,13.4
Fri 21 Jan 2022 13:33:07 +0000,57.0,4.2,13.4
Fri 21 Jan 2022 13:33:17 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 13:33:27 +0000,57.0,13.1,13.4
Fri 21 Jan 2022 13:33:37 +0000,57.0,6.2,13.4
Fri 21 Jan 2022 13:33:47 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 13:33:57 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 13:34:07 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:34:17 +0000,57.0,10.2,13.4
Fri 21 Jan 2022 13:34:27 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 13:34:37 +0000,57.0,9.1,13.4
Fri 21 Jan 2022 13:34:47 +0000,57.0,5.8,13.4
Fri 21 Jan 2022 13:34:57 +0000,57.0,3.9,13.4
Fri 21 Jan 2022 13:35:07 +0000,57.0,3.7,13.4
Fri 21 Jan 2022 13:35:17 +0000,57.0,5.4,13.4
Fri 21 Jan 2022 13:35:27 +0000,57.0,2.6,13.4
Fri 21 Jan 2022 13:35:37 +0000,57.0,6.8,13.4
Fri 21 Jan 2022 13:35:47 +0000,57.0,4.7,13.4
Fri 21 Jan 2022 13:35:57 +0000,57.0,9.0,13.4
Fri 21 Jan 2022 13:36:07 +0000,57.0,3.8,13.4
Fri 21 Jan 2022 13:36:17 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:36:27 +0000,57.0,2.9,13.4
Fri 21 Jan 2022 13:36:37 +0000,57.1,5.2,13.4
Fri 21 Jan 2022 13:36:47 +0000,57.1,2.7,13.4
Fri 21 Jan 2022 13:36:57 +0000,57.1,3.2,13.4
Fri 21 Jan 2022 13:37:07 +0000,57.1,3.2,13.4
Fri 21 Jan 2022 13:37:17 +0000,57.1,3.4,13.4
Fri 21 Jan 2022 13:37:27 +0000,57.1,4.5,13.4
Fri 21 Jan 2022 13:37:37 +0000,57.1,10.7,13.4
Fri 21 Jan 2022 13:37:47 +0000,57.1,5.9,13.4
Fri 21 Jan 2022 13:37:57 +0000,57.1,4.1,13.4
Fri 21 Jan 2022 13:38:07 +0000,57.1,3.4,13.4
Fri 21 Jan 2022 13:38:17 +0000,57.0,4.4,13.4
Fri 21 Jan 2022 13:38:27 +0000,57.0,12.5,13.4
Fri 21 Jan 2022 13:38:37 +0000,57.0,5.0,13.4
Fri 21 Jan 2022 13:38:47 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:38:57 +0000,57.0,3.0,13.4
Fri 21 Jan 2022 13:39:07 +0000,57.0,6.4,13.4
Fri 21 Jan 2022 13:39:17 +0000,57.1,6.3,13.4
Fri 21 Jan 2022 13:39:27 +0000,57.0,3.0,13.4
Fri 21 Jan 2022 13:39:37 +0000,57.0,9.3,13.4
Fri 21 Jan 2022 13:39:47 +0000,57.0,6.6,13.4
Fri 21 Jan 2022 13:39:57 +0000,57.0,6.2,13.4
Fri 21 Jan 2022 13:40:07 +0000,57.0,4.2,13.4
Fri 21 Jan 2022 13:40:17 +0000,57.0,4.7,13.4
Fri 21 Jan 2022 13:40:27 +0000,57.0,2.7,13.4
Fri 21 Jan 2022 13:40:37 +0000,57.0,14.1,13.4
Fri 21 Jan 2022 13:40:47 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 13:40:57 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 13:41:07 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 13:41:18 +0000,57.0,4.1,13.4
Fri 21 Jan 2022 13:41:28 +0000,57.0,2.9,13.4
Fri 21 Jan 2022 13:41:38 +0000,57.0,4.8,13.4
Fri 21 Jan 2022 13:41:48 +0000,57.0,3.9,13.4
Fri 21 Jan 2022 13:41:58 +0000,57.0,4.0,13.4
Fri 21 Jan 2022 13:42:08 +0000,57.0,7.4,13.4
Fri 21 Jan 2022 13:42:18 +0000,57.0,6.3,13.4
Fri 21 Jan 2022 13:42:28 +0000,57.0,2.7,13.4
Fri 21 Jan 2022 13:42:38 +0000,57.1,5.2,13.4
Fri 21 Jan 2022 13:42:48 +0000,57.1,3.1,13.4
Fri 21 Jan 2022 13:42:58 +0000,57.1,3.1,13.4
Fri 21 Jan 2022 13:43:08 +0000,57.1,3.2,13.4
Fri 21 Jan 2022 13:43:18 +0000,57.1,3.4,13.4
Fri 21 Jan 2022 13:43:28 +0000,57.1,13.9,13.4
Fri 21 Jan 2022 13:43:38 +0000,57.3,15.2,13.4
Fri 21 Jan 2022 13:43:48 +0000,57.1,3.6,13.4
Fri 21 Jan 2022 13:43:58 +0000,57.1,3.9,13.4
Fri 21 Jan 2022 13:44:08 +0000,57.1,3.3,13.4
Fri 21 Jan 2022 13:44:18 +0000,57.1,3.3,13.4
Fri 21 Jan 2022 13:44:28 +0000,57.1,2.7,13.4
Fri 21 Jan 2022 13:44:38 +0000,57.1,9.5,13.4
Fri 21 Jan 2022 13:44:48 +0000,57.1,6.1,13.4
Fri 21 Jan 2022 13:44:58 +0000,57.1,8.8,13.4
