timestamp,RAM_Usage_In_Percentage,CPU_Usage_In_Percentage,DISK_Usage_In_Percantage
Fri 21 Jan 2022 13:30:48 +0000,54.6,7.1,17.9
Fri 21 Jan 2022 13:30:58 +0000,54.6,6.5,17.9
Fri 21 Jan 2022 13:31:08 +0000,54.6,5.1,17.9
Fri 21 Jan 2022 13:31:18 +0000,54.6,6.1,17.9
Fri 21 Jan 2022 13:31:28 +0000,54.6,4.9,17.9
Fri 21 Jan 2022 13:31:38 +0000,54.6,7.8,17.9
Fri 21 Jan 2022 13:31:48 +0000,54.6,5.2,17.9
Fri 21 Jan 2022 13:31:58 +0000,54.6,6.9,17.9
Fri 21 Jan 2022 13:32:08 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:32:18 +0000,54.6,5.6,17.9
Fri 21 Jan 2022 13:32:28 +0000,54.7,6.1,17.9
Fri 21 Jan 2022 13:32:38 +0000,54.6,6.9,17.9
Fri 21 Jan 2022 13:32:48 +0000,54.6,5.1,17.9
Fri 21 Jan 2022 13:32:58 +0000,54.6,6.5,17.9
Fri 21 Jan 2022 13:33:08 +0000,54.6,5.3,17.9
Fri 21 Jan 2022 13:33:18 +0000,54.6,5.3,17.9
Fri 21 Jan 2022 13:33:28 +0000,54.6,4.7,17.9
Fri 21 Jan 2022 13:33:38 +0000,54.6,8.2,17.9
Fri 21 Jan 2022 13:33:48 +0000,54.7,5.4,17.9
Fri 21 Jan 2022 13:33:58 +0000,54.6,6.6,17.9
Fri 21 Jan 2022 13:34:08 +0000,54.6,5.1,17.9
Fri 21 Jan 2022 13:34:18 +0000,54.6,4.8,17.9
Fri 21 Jan 2022 13:34:28 +0000,54.6,4.8,17.9
Fri 21 Jan 2022 13:34:38 +0000,54.6,6.7,17.9
Fri 21 Jan 2022 13:34:48 +0000,54.6,4.9,17.9
Fri 21 Jan 2022 13:34:58 +0000,54.6,6.4,17.9
Fri 21 Jan 2022 13:35:08 +0000,54.6,5.1,17.9
Fri 21 Jan 2022 13:35:18 +0000,54.6,5.9,17.9
Fri 21 Jan 2022 13:35:28 +0000,54.6,6.2,17.9
Fri 21 Jan 2022 13:35:38 +0000,54.6,6.8,17.9
Fri 21 Jan 2022 13:35:48 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:35:58 +0000,54.6,6.9,17.9
Fri 21 Jan 2022 13:36:08 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:36:18 +0000,54.6,5.2,17.9
Fri 21 Jan 2022 13:36:28 +0000,54.6,4.7,17.9
Fri 21 Jan 2022 13:36:38 +0000,54.6,5.1,17.9
Fri 21 Jan 2022 13:36:48 +0000,54.6,6.7,17.9
Fri 21 Jan 2022 13:36:58 +0000,54.6,8.4,17.9
Fri 21 Jan 2022 13:37:08 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:37:18 +0000,54.6,5.2,17.9
Fri 21 Jan 2022 13:37:28 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:37:38 +0000,54.6,5.4,17.9
Fri 21 Jan 2022 13:37:48 +0000,54.6,6.3,17.9
Fri 21 Jan 2022 13:37:58 +0000,54.6,7.0,17.9
Fri 21 Jan 2022 13:38:08 +0000,54.6,5.1,17.9
